VendorID,lpep_pickup_datetime,Lpep_dropoff_datetime,Store_and_fwd_flag,RateCodeID,Pickup_longitude,Pickup_latitude,Dropoff_longitude,Dropoff_latitude,Passenger_count,Trip_distance,Fare_amount,Extra,MTA_tax,Tip_amount,Tolls_amount,Ehail_fee,improvement_surcharge,Total_amount,Payment_type,Trip_type 
1,2016-03-01 02:54:59,2016-03-01 02:59:17,N,1,-73.925575256347656,40.76202392578125,-73.920379638671875,40.754325866699219,1,1.00,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
1,2016-03-01 02:54:12,2016-03-01 03:00:02,N,1,-73.912887573242188,40.804946899414063,-73.925300598144531,40.817222595214844,1,1.40,7,0.5,0.5,0,0,,0.3,8.3,2,1
1,2016-03-01 02:53:48,2016-03-01 03:01:18,N,1,-73.954368591308594,40.587436676025391,-74.000274658203125,40.578788757324219,1,3.40,11.5,0.5,0.5,0,0,,0.3,12.8,1,1
1,2016-03-01 02:53:37,2016-03-01 03:01:14,N,1,-73.947547912597656,40.711296081542969,-73.905067443847656,40.722999572753906,2,3.50,11.5,0.5,0.5,3.2,0,,0.3,16,1,1
1,2016-03-01 02:52:41,2016-03-01 03:01:03,N,1,-73.91461181640625,40.822822570800781,-73.846115112304688,40.828464508056641,1,4.80,14.5,0.5,0.5,0,0,,0.3,15.8,2,1
1,2016-03-01 02:51:35,2016-03-01 03:02:10,N,1,-73.891227722167969,40.746952056884766,-73.879837036132812,40.756282806396484,1,2.00,9.5,0.5,0.5,0,0,,0.3,10.8,2,1
1,2016-03-01 02:50:50,2016-03-01 03:22:22,N,1,-73.957679748535156,40.722381591796875,-73.982582092285156,40.723316192626953,1,6.40,24.5,0.5,0.5,4,0,,0.3,29.8,1,1
1,2016-03-01 02:50:42,2016-03-01 02:54:27,N,1,-73.929344177246094,40.701133728027344,-73.915863037109375,40.699817657470703,1,1.00,5,0.5,0.5,0,0,,0.3,6.3,2,1
1,2016-03-01 02:50:08,2016-03-01 02:54:32,N,1,-73.88763427734375,40.747467041015625,-73.877555847167969,40.753978729248047,1,1.00,5.5,0.5,0.5,0,0,,0.3,6.8,2,1
1,2016-03-01 02:50:01,2016-03-01 03:01:00,N,1,-73.949607849121094,40.722255706787109,-73.92608642578125,40.693855285644531,1,2.60,10.5,0.5,0.5,2.35,0,,0.3,14.15,1,1
1,2016-03-01 02:49:23,2016-03-01 02:54:24,N,1,-73.944267272949219,40.714519500732422,-73.92596435546875,40.705741882324219,1,1.50,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
1,2016-03-01 02:48:48,2016-03-01 02:59:25,N,1,-73.957801818847656,40.72216796875,-73.982749938964844,40.723049163818359,1,3.10,11.5,0.5,0.5,2.55,0,,0.3,15.35,1,1
1,2016-03-01 02:48:45,2016-03-01 02:56:16,N,1,-73.9393310546875,40.821601867675781,-73.944969177246094,40.8074951171875,1,1.20,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
1,2016-03-01 02:07:17,2016-03-01 02:14:01,Y,1,-73.874465942382813,40.829116821289063,-73.864906311035156,40.852691650390625,1,2.70,10,0.5,0.5,0,0,,0.3,11.3,2,1
1,2016-03-01 02:47:43,2016-03-01 03:03:37,N,1,-73.978485107421875,40.684532165527344,-73.958824157714844,40.644203186035156,1,5.50,18.5,0.5,0.5,0,0,,0.3,19.8,2,1
1,2016-03-01 02:47:28,2016-03-01 02:51:34,N,1,-73.956001281738281,40.813529968261719,-73.944290161132812,40.829792022705078,1,1.30,6,1,0.5,0,0,,0.3,7.8,2,1
1,2016-03-01 02:46:49,2016-03-01 02:47:13,N,5,-73.958053588867188,40.670364379882813,-73.958053588867188,40.670364379882813,1,3.70,16,0,0,0,0,,0,16,1,2
1,2016-03-01 02:46:57,2016-03-01 02:51:10,N,1,-73.993820190429687,40.681747436523437,-73.980926513671875,40.685398101806641,2,1.00,5.5,0.5,0.5,1.35,0,,0.3,8.15,1,1
1,2016-03-01 02:46:39,2016-03-01 02:57:44,N,1,-73.925361633300781,40.691322326660156,-73.949989318847656,40.671619415283203,1,3.00,11.5,0.5,0.5,0,0,,0.3,12.8,2,1
1,2016-03-01 02:45:10,2016-03-01 02:49:17,N,1,-73.925575256347656,40.762035369873047,-73.933570861816406,40.770030975341797,1,.90,5.5,0.5,0.5,0,0,,0.3,6.8,1,1
1,2016-03-01 02:44:28,2016-03-01 02:50:02,N,1,-73.888641357421875,40.747276306152344,-73.893898010253906,40.758407592773438,1,.90,6,0.5,0.5,1,0,,0.3,8.3,1,1
1,2016-03-01 02:43:49,2016-03-01 02:47:56,N,1,-73.953941345214844,40.587200164794922,-73.9371337890625,40.590606689453125,1,1.00,5.5,0.5,0.5,1.35,0,,0.3,8.15,1,1
1,2016-03-01 02:43:32,2016-03-01 03:05:35,N,1,-73.929908752441406,40.754188537597656,-73.953262329101563,40.664539337158203,2,8.10,25.5,0.5,0.5,1,0,,0.3,27.8,1,1
1,2016-03-01 02:42:23,2016-03-01 02:57:55,N,1,-73.996208190917969,40.690872192382813,-73.95379638671875,40.638755798339844,1,4.60,16,0.5,0.5,0,0,,0.3,17.3,2,1
1,2016-03-01 02:41:46,2016-03-01 03:01:07,N,1,-73.97711181640625,40.687362670898438,-73.94049072265625,40.699916839599609,1,3.30,14.5,0.5,0.5,3,0,,0.3,18.8,1,1
1,2016-03-01 02:39:48,2016-03-01 02:46:18,N,1,-73.888999938964844,40.747123718261719,-73.8690185546875,40.749107360839844,2,1.00,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
1,2016-03-01 02:40:05,2016-03-01 02:45:26,N,1,-73.892288208007813,40.746822357177734,-73.878273010253906,40.739673614501953,1,.90,6,0.5,0.5,0,0,,0.3,7.3,2,1
1,2016-03-01 02:39:00,2016-03-01 03:22:16,N,5,-73.810470581054688,40.691982269287109,-73.104843139648438,40.808555603027344,1,44.60,50,0,0,0,0,,0,50,1,2
1,2016-03-01 02:38:14,2016-03-01 02:41:59,N,1,-73.948715209960938,40.828742980957031,-73.949600219726563,40.822566986083984,1,.70,5,0.5,0.5,1.25,0,,0.3,7.55,1,1
1,2016-03-01 02:38:04,2016-03-01 02:42:05,N,1,-73.880790710449219,40.741680145263672,-73.882728576660156,40.734466552734375,1,.70,5,0.5,0.5,0,0,,0.3,6.3,2,1
1,2016-03-01 02:36:12,2016-03-01 02:49:31,N,1,-73.950927734375,40.723922729492188,-73.929344177246094,40.701133728027344,1,2.50,11.5,0.5,0.5,1,0,,0.3,13.8,1,1
1,2016-03-01 02:35:55,2016-03-01 02:36:39,N,1,-73.889083862304688,40.747119903564453,-73.888816833496094,40.747726440429688,1,.10,2.5,0.5,0.5,0,0,,0.3,3.8,2,1
1,2016-03-01 02:36:15,2016-03-01 02:44:33,N,1,-73.923080444335938,40.690036773681641,-73.925407409667969,40.691417694091797,1,1.20,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
1,2016-03-01 02:36:34,2016-03-01 02:41:31,N,1,-73.937110900878906,40.702144622802734,-73.916839599609375,40.692405700683594,1,1.60,6.5,0.5,0.5,0,0,,0.3,7.8,2,1
1,2016-03-01 02:35:08,2016-03-01 02:36:10,N,1,-73.93756103515625,40.848312377929687,-73.937507629394531,40.848297119140625,1,.90,3,0.5,0.5,0,0,,0.3,4.3,4,1
1,2016-03-01 02:35:06,2016-03-01 02:41:41,N,1,-73.983329772949219,40.672645568847656,-73.964462280273438,40.681446075439453,1,1.50,7.5,0.5,0.5,0,0,,0.3,8.8,2,1
1,2016-03-01 02:34:17,2016-03-01 02:34:41,N,5,-73.810356140136719,40.697975158691406,-73.810356140136719,40.697975158691406,1,.00,50,0,0,0,0,,0,50,2,2
1,2016-03-01 02:34:12,2016-03-01 02:40:22,N,1,-73.931732177734375,40.697315216064453,-73.907234191894531,40.7044677734375,1,1.50,7,0.5,0.5,0,0,,0.3,8.3,2,1
1,2016-03-01 02:32:41,2016-03-01 02:35:58,N,1,-73.875732421875,40.737209320068359,-73.888153076171875,40.739048004150391,1,.90,4.5,0.5,0.5,0,0,,0.3,5.8,2,1
