采集日期,平台名称,成交额(万),综合利率,投资人(人),借款周期(月),借款人(人),满标速度(分钟),累计贷款余额(万),净资金流入(万)
2017-05-19,新富金融,100,6.8%,47,0.67,1,7.49,11174.47,-100.87
2017-05-19,易互贷,100,15.6%,13,1.00,2,375.62,2889.65,-50.95
2017-05-19,物金所,100,11.71%,15,6.33,5,210.60,11518.89,-7.6
2017-05-19,民民贷,98,14.41%,74,6.91,9,15.56,12423.75,31.68
2017-05-19,搜搜金融网,98,12.73%,32,2.77,5,19.52,2623.45,57.37
2017-05-19,蜂投网,95,12.66%,45,5.32,4,1063.80,4452,-18.58
2017-05-19,潮人贷,95,12%,41,3.00,3,933.29,4634.17,35.95
2017-05-19,狮子座金融,92.5,22.38%,34,5.03,3,36.99,20070.82,13.27
2017-05-19,四海众投,91.9,9.8%,39,2.04,5,210.57,4421.29,50.67
2017-05-19,金牌理财,90.45,13.94%,51,2.23,7,242.86,4156.21,59.64
2017-05-19,好收益,90,0.13%,100,2.95,3,954.57,10571.47,-59.27
2017-05-19,利好贷,90,14.29%,0,5.73,5,41.98,5543.42,48.44
2017-05-19,赢贷通,90,14%,14,6.00,1,4.00,7245.95,52.94
2017-05-19,利得行,88.05,9.06%,0,2.77,5,858.21,7841.16,-99.62
2017-05-19,e葱金融,87.5,8.29%,22,0.86,2,79.58,1829.35,-116.7
2017-05-19,财富智汇,86,15.97%,0,2.93,3,0,7769.66,-23.65
2017-05-19,力帆善融,86,7.5%,28,4.00,1,0.10,4197.31,88.15
2017-05-19,民投金服,85.28,7.12%,136,0.95,29,0.90,17210.21,32.06
2017-05-19,阜阳金融网,85.1,17.65%,54,2.94,1,1353.57,3746.28,-8.76
2017-05-19,长久贷,85,14.91%,28,5.35,3,1543.66,10370.09,21.38
2017-05-19,赶贷网,84,9.63%,34,2.40,11,634.48,3516.76,47.83
2017-05-19,迅泊达,83.9,10.8%,34,0.50,3,28.10,6519.72,25.24
2017-05-19,车财网,83.5,14.3%,69,6.84,5,90.11,3998.31,-4.26
2017-05-19,奇乐融,83.41,7.13%,41,0.77,21,0.44,15523.36,83.85
2017-05-19,钱道网,83.2,13.39%,182,6.59,2,903.28,10956.13,0
